amaclar,uzun_yolculuk,yakit,arac_tipi,butce,oneri
Şehir içi kullanım,Hiç,Elektrik,Hatchback,1m - 2m,MINI Electric
Doğa gezisi,Nadiren,Hibrit,SUV,4m - 5m,BMW iX3
Şehirler arası,Sık sık,Dizel,Sedan,5m - 6m,BMW 5 Serisi
Şehir içi kullanım,Her zaman,Benzin,SUV,7m - 8m,BMW X7
Doğa gezisi,Çoğunlukla,Elektrik,Coupé,3m - 4m,BMW i4
Şehirler arası ulaşım,Nadiren,Benzin,Sedan,3m - 4m,BMW 3 Serisi
Doğa gezisi,Hiç,Hibrit,SUV,5m - 6m,Range Rover Velar
Şehir içi kullanım,Sık sık,Elektrik,Compact,2m - 3m,BMW i3
Doğa gezisi,Her zaman,Dizel,SUV,6m - 7m,Land Rover Defender
Şehirler arası ulaşım,Çoğunlukla,Benzin,Hatchback,1m - 2m,MINI Countryman
Şehirler arası ulaşım,Hiç,Benzin,Sedan,2m - 3m,BMW 2 Serisi
Doğa gezisi,Nadiren,Dizel,SUV,4m - 5m,Land Rover Discovery
Şehir içi kullanım,Sık sık,Elektrik,Compact,1m - 2m,BMW iX1
Şehirler arası ulaşım,Her zaman,Hibrit,Coupé,3m - 4m,BMW 4 Serisi
Şehir içi kullanım,Çoğunlukla,Benzin,SUV,5m - 6m,Jaguar F-PACE
Doğa gezisi,Nadiren,Elektrik,Hatchback,<2m,MINI Electric
Şehirler arası ulaşım,Sık sık,Dizel,SUV,6m - 7m,BMW X5
Şehir içi kullanım,Hiç,Hibrit,Sedan,3m - 4m,BMW 330e
Doğa gezisi,Çoğunlukla,Benzin,SUV,7m - 8m,Range Rover Sport
Şehirler arası ulaşım,Her zaman,Elektrik,Compact,2m - 3m,Jaguar I-PACE
Şehir içi kullanım,Hiç,Elektrik,Compact,<2m,BMW i3
Doğa gezisi,Nadiren,Hibrit,SUV,2m - 3m,Range Rover Evoque
Şehirler arası ulaşım,Sık sık,Dizel,Sedan,3m - 4m,BMW 7 Serisi
Şehir içi kullanım,Her zaman,Benzin,Coupé,5m - 6m,Jaguar F-TYPE
Doğa gezisi,Çoğunlukla,Elektrik,Hatchback,1m - 2m,MINI Electric
Şehirler arası ulaşım,Nadiren,Benzin,Sedan,2m - 3m,Jaguar XE
Şehir içi kullanım,Sık sık,Dizel,SUV,4m - 5m,BMW X3
Doğa gezisi,Her zaman,Hibrit,SUV,6m - 7m,Land Rover Discovery
Şehir içi kullanım,Çoğunlukla,Elektrik,Compact,<2m,BMW iX1
Şehirler arası ulaşım,Nadiren,Benzin,Hatchback,3m - 4m,MINI Countryman
Şehir içi kullanım,Hiç,Benzin,Hatchback,<2m,MINI 3 Kapı
Doğa gezisi,Nadiren,Elektrik,SUV,3m - 4m,BMW iX
Şehirler arası ulaşım,Sık sık,Dizel,Sedan,4m - 5m,Jaguar XF
Şehir içi kullanım,Her zaman,Hibrit,Coupé,5m - 6m,BMW 8 Serisi
Doğa gezisi,Çoğunlukla,Benzin,SUV,6m - 7m,Range Rover Sport
Şehirler arası ulaşım,Nadiren,Elektrik,Sedan,2m - 3m,BMW i4
Şehir içi kullanım,Sık sık,Dizel,SUV,3m - 4m,Land Rover Discovery
Doğa gezisi,Her zaman,Hibrit,SUV,6m - 7m,BMW X5
Şehir içi kullanım,Çoğunlukla,Elektrik,Compact,<2m,BMW i3
Şehirler arası ulaşım,Nadiren,Benzin,Hatchback,2m - 3m,MINI Countryman
Şehir içi kullanım,Hiç,Benzin,Sedan,2m - 3m,BMW 3 Serisi
Doğa gezisi,Nadiren,Elektrik,SUV,3m - 4m,BMW iX
Şehirler arası ulaşım,Sık sık,Dizel,Coupé,4m - 5m,Jaguar F-Type
Şehir içi kullanım,Her zaman,Hibrit,SUV,5m - 6m,Range Rover Velar
Doğa gezisi,Çoğunlukla,Benzin,Hatchback,1m - 2m,MINI 5 Kapı
Şehirler arası ulaşım,Nadiren,Elektrik,Sedan,2m - 3m,BMW i4
Şehir içi kullanım,Sık sık,Dizel,SUV,3m - 4m,Land Rover Discovery
Doğa gezisi,Her zaman,Hibrit,SUV,6m - 7m,BMW X5
Şehir içi kullanım,Çoğunlukla,Elektrik,Compact,<2m,BMW i3
Şehir içi kullanım,Hiç,Elektrik,Compact,1m - 2m,BMW iX1
Doğa gezisi,Nadiren,Hibrit,SUV,2m - 3m,BMW X5
Şehirler arası ulaşım,Sık sık,Dizel,Sedan,3m - 4m,BMW 7 Serisi
Şehir içi kullanım,Her zaman,Benzin,Coupé,5m - 6m,Jaguar F-TYPE
Doğa gezisi,Çoğunlukla,Elektrik,Hatchback,<2m,MINI Electric
Şehirler arası ulaşım,Nadiren,Benzin,Sedan,2m - 3m,Jaguar XE
Şehir içi kullanım,Sık sık,Dizel,SUV,4m - 5m,Land Rover Discovery
Doğa gezisi,Her zaman,Hibrit,SUV,6m - 7m,Range Rover Sport
Şehir içi kullanım,Çoğunlukla,Elektrik,Compact,<2m,BMW i3
Şehirler arası ulaşım,Nadiren,Benzin,Hatchback,3m - 4m,MINI Countryman
Hafta sonu kaçamakları,Nadiren,Benzin,Cabrio,5m - 6m,BMW Z4
Şehir dışı iş seyahatleri,Sık sık,Hibrit,Sedan,3m - 4m,BMW 530e
Aile tatilleri,Her zaman,Dizel,SUV,6m - 7m,Land Rover Defender
Günlük iş kullanımı,Hiç,Elektrik,Compact,<2m,Jaguar I-PACE
Şehir içi pratik kullanım,Çoğunlukla,Benzin,Hatchback,2m - 3m,MINI 5 Kapı
Gece şehir yaşamı,Nadiren,Benzin,Coupe,4m - 5m,BMW 4 Serisi
Uzun mesafe yolculuklar,Sık sık,Dizel,SUV,7m - 8m,Range Rover Vogue
Günlük kısa mesafeler,Hiç,Elektrik,Compact,<2m,BMW iX3
Hafta sonu gezileri,Çoğunlukla,Benzin,SUV,3m - 4m,Jaguar E-PACE
